,FR_Confirmed,FR_Deaths,FR_Recovered,FR_Active,Date
116,9,0,0,9,2020-03-17 00:00:00+00:00
117,3,0,0,3,2020-03-17 00:00:00+00:00
118,2,0,0,2,2020-03-17 00:00:00+00:00
119,9043,148,12,8883,2020-03-18 00:00:00+00:00
120,11,0,0,11,2020-03-18 00:00:00+00:00
121,3,0,0,3,2020-03-18 00:00:00+00:00
122,27,0,0,27,2020-03-18 00:00:00+00:00
123,19,1,0,18,2020-03-18 00:00:00+00:00
124,3,0,0,3,2020-03-18 00:00:00+00:00
125,12,0,0,12,2020-03-18 00:00:00+00:00
126,3,0,0,3,2020-03-18 00:00:00+00:00
127,3,0,0,3,2020-03-18 00:00:00+00:00
128,10871,243,12,10616,2020-03-19 00:00:00+00:00
129,11,0,0,11,2020-03-19 00:00:00+00:00
130,6,0,0,6,2020-03-19 00:00:00+00:00
131,33,0,0,33,2020-03-19 00:00:00+00:00
132,23,1,0,22,2020-03-19 00:00:00+00:00
133,3,0,0,3,2020-03-19 00:00:00+00:00
134,2,0,0,2,2020-03-19 00:00:00+00:00
135,14,0,0,14,2020-03-19 00:00:00+00:00
136,3,0,0,3,2020-03-19 00:00:00+00:00
137,4,0,0,4,2020-03-19 00:00:00+00:00
138,12612,450,12,12150,2020-03-20 00:00:00+00:00
139,15,0,0,15,2020-03-20 00:00:00+00:00
140,11,0,0,11,2020-03-20 00:00:00+00:00
141,45,0,0,45,2020-03-20 00:00:00+00:00
142,32,1,0,31,2020-03-20 00:00:00+00:00
143,6,0,0,6,2020-03-20 00:00:00+00:00
144,2,0,0,2,2020-03-20 00:00:00+00:00
145,28,0,0,28,2020-03-20 00:00:00+00:00
146,3,0,0,3,2020-03-20 00:00:00+00:00
147,4,0,0,4,2020-03-20 00:00:00+00:00
148,14282,562,12,13708,2020-03-21 00:00:00+00:00
149,18,0,0,18,2020-03-21 00:00:00+00:00
150,15,0,0,15,2020-03-21 00:00:00+00:00
151,53,0,0,53,2020-03-21 00:00:00+00:00
152,32,1,0,31,2020-03-21 00:00:00+00:00
153,7,0,0,7,2020-03-21 00:00:00+00:00
154,4,0,0,4,2020-03-21 00:00:00+00:00
155,45,0,0,45,2020-03-21 00:00:00+00:00
156,3,0,0,3,2020-03-21 00:00:00+00:00
157,4,0,0,4,2020-03-21 00:00:00+00:00
158,16018,674,2200,13144,2020-03-22 00:00:00+00:00
159,18,0,6,12,2020-03-22 00:00:00+00:00
160,18,0,0,18,2020-03-22 00:00:00+00:00
