	Date	bitrate
96	2017-10-05 00:00:00+00:00	-0.0045761800805440185
97	2017-10-06 00:00:00+00:00	-0.002591117898309656
98	2017-10-07 00:00:00+00:00	-0.003125697748618137
99	2017-10-08 00:00:00+00:00	-0.00955420165993639
100	2017-10-09 00:00:00+00:00	-0.00862869548621174
101	2017-10-10 00:00:00+00:00	-0.0049831839372828516
102	2017-10-11 00:00:00+00:00	-0.0033115588964035083
103	2017-10-12 00:00:00+00:00	-0.0014200287274267367
104	2017-10-13 00:00:00+00:00	-0.0015769868907559571
105	2017-10-14 00:00:00+00:00	-0.0029527213651327224
106	2017-10-15 00:00:00+00:00	-0.007192566403224716
107	2017-10-16 00:00:00+00:00	-0.0074911087335897495
108	2017-10-17 00:00:00+00:00	-0.0019352856397681951
109	2017-10-18 00:00:00+00:00	-0.0024770051612651063
110	2017-10-19 00:00:00+00:00	-0.0016443979142744176
111	2017-10-20 00:00:00+00:00	-0.00028483356378916636
112	2017-10-21 00:00:00+00:00	-0.0009335055155003319
113	2017-10-22 00:00:00+00:00	-0.006120170959524043
114	2017-10-23 00:00:00+00:00	-0.005860599643785264
115	2017-10-24 00:00:00+00:00	-0.0010868118842239332
116	2017-10-25 00:00:00+00:00	-0.0011615041950564773
117	2017-10-26 00:00:00+00:00	-0.0008398697919938468
118	2017-10-27 00:00:00+00:00	0.0006427987280040984
119	2017-10-28 00:00:00+00:00	-0.0011484807816332541
120	2017-10-29 00:00:00+00:00	-0.004161913940685139
121	2017-10-30 00:00:00+00:00	-0.006498021726605983
122	2017-10-31 00:00:00+00:00	-0.0006601509307316337
123	2017-11-01 00:00:00+00:00	0.0002560218310116002
124	2017-11-02 00:00:00+00:00	0.0014171223390821268
125	2017-11-03 00:00:00+00:00	0.003390981867727038
126	2017-11-04 00:00:00+00:00	0.0018827957243769734
127	2017-11-05 00:00:00+00:00	-0.0052740636351575245
128	2017-11-06 00:00:00+00:00	-0.005082476805796638
129	2017-11-07 00:00:00+00:00	-0.0008090171360922551
130	2017-11-08 00:00:00+00:00	0.003024453867035781
131	2017-11-09 00:00:00+00:00	0.0020149863389981354
132	2017-11-10 00:00:00+00:00	-0.000487461122268842
133	2017-11-11 00:00:00+00:00	0.001331715067992235
134	2017-11-12 00:00:00+00:00	-0.005349148686101208
135	2017-11-13 00:00:00+00:00	-0.004958568105773223
136	2017-11-14 00:00:00+00:00	-0.0002413997084975703
137	2017-11-15 00:00:00+00:00	0.000917381065380854
138	2017-11-16 00:00:00+00:00	-0.0005135296691499117
139	2017-11-17 00:00:00+00:00	0.00020122175912153876
140	2017-11-18 00:00:00+00:00	-0.0009857493063702692
141	2017-11-19 00:00:00+00:00	-0.0031290753088966906
142	2017-11-20 00:00:00+00:00	-0.005559753253932046
143	2017-11-21 00:00:00+00:00	-0.002311412766170351
144	2017-11-22 00:00:00+00:00	-0.002535792196137872
145	2017-11-23 00:00:00+00:00	-0.0013107018612939034
146	2017-11-24 00:00:00+00:00	-0.0030864192998728813
147	2017-11-25 00:00:00+00:00	-0.0030493474582596746
148	2017-11-26 00:00:00+00:00	-0.007544675834408092
149	2017-11-27 00:00:00+00:00	-0.005378486453817407
150	2017-11-28 00:00:00+00:00	-0.001666838825143781
151	2017-11-29 00:00:00+00:00	-0.0010698278511620412
152	2017-11-30 00:00:00+00:00	-0.0003225124194468094
153	2017-12-01 00:00:00+00:00	0.00016401299300070364
154	2017-12-02 00:00:00+00:00	0.0005470165841260756
155	2017-12-03 00:00:00+00:00	-0.0030869102603023847
156	2017-12-04 00:00:00+00:00	-0.0040758202671785475
157	2017-12-05 00:00:00+00:00	-0.0008306474329202247
158	2017-12-06 00:00:00+00:00	0.003456581210037525
159	2017-12-07 00:00:00+00:00	0.0032977349613750612
160	2017-12-08 00:00:00+00:00	0.006999348219362565
161	2017-12-09 00:00:00+00:00	0.005819956866396856
162	2017-12-10 00:00:00+00:00	-0.0016656498966408128
163	2017-12-11 00:00:00+00:00	-0.0010739276037426116
164	2017-12-12 00:00:00+00:00	0.0033578185429170276
165	2017-12-13 00:00:00+00:00	0.005955930811039149
166	2017-12-14 00:00:00+00:00	0.007694144605166119
167	2017-12-15 00:00:00+00:00	0.008210303984674563
168	2017-12-16 00:00:00+00:00	0.005762562713326563
169	2017-12-17 00:00:00+00:00	-0.0033997819805029776
170	2017-12-18 00:00:00+00:00	-0.00272342740058887
171	2017-12-19 00:00:00+00:00	0.0015982756038633882
172	2017-12-20 00:00:00+00:00	0.00230339930578793
173	2017-12-21 00:00:00+00:00	0.0012937990376844918
174	2017-12-22 00:00:00+00:00	0.002342541220301004
175	2017-12-23 00:00:00+00:00	-0.0030990026135625528
176	2017-12-24 00:00:00+00:00	-0.008701165127013986
177	2017-12-25 00:00:00+00:00	-0.012013946168010308
178	2017-12-26 00:00:00+00:00	-0.006060503528152654
179	2017-12-27 00:00:00+00:00	-0.004035437758880821
180	2017-12-28 00:00:00+00:00	-0.0013123831761089316
181	2017-12-29 00:00:00+00:00	-0.0029527337928017478
182	2017-12-30 00:00:00+00:00	-0.0042462707951059445
183	2017-12-31 00:00:00+00:00	-0.006039702497556917
184	2018-01-01 00:00:00+00:00	-0.009423301773966674
185	2018-01-02 00:00:00+00:00	-0.0034788182069689752
186	2018-01-03 00:00:00+00:00	0.004495247612394958
187	2018-01-04 00:00:00+00:00	0.005762786276109202
188	2018-01-05 00:00:00+00:00	0.00504240185124463
189	2018-01-06 00:00:00+00:00	0.002852533910281169
190	2018-01-07 00:00:00+00:00	-0.0029490108996944203
191	2018-01-08 00:00:00+00:00	-0.002596675239658103
192	2018-01-09 00:00:00+00:00	0.0022964493587132027
193	2018-01-10 00:00:00+00:00	0.0049971770993600395
194	2018-01-11 00:00:00+00:00	0.005411003516718398
195	2018-01-12 00:00:00+00:00	0.006416152302011315
196	2018-01-13 00:00:00+00:00	0.004573557012849317
197	2018-01-14 00:00:00+00:00	0.001164508707788742
198	2018-01-15 00:00:00+00:00	0.00044995680876340873
199	2018-01-16 00:00:00+00:00	0.0025030460483925093
200	2018-01-17 00:00:00+00:00	0.0026855412839996073
201	2018-01-18 00:00:00+00:00	0.002833452756378442
202	2018-01-19 00:00:00+00:00	0.0061597686850818015
203	2018-01-20 00:00:00+00:00	0.006266787065281566
204	2018-01-21 00:00:00+00:00	0.0014189642087353636
205	2018-01-22 00:00:00+00:00	0.001529260231923769
206	2018-01-23 00:00:00+00:00	0.0032524603183695594
207	2018-01-24 00:00:00+00:00	0.005332122970052757
208	2018-01-25 00:00:00+00:00	0.004600209992697019
209	2018-01-26 00:00:00+00:00	0.006233603228106947
210	2018-01-27 00:00:00+00:00	0.004313715240902521
211	2018-01-28 00:00:00+00:00	0.0002472059978622671
212	2018-01-29 00:00:00+00:00	-0.0010850153314264054
