,CZ_Confirmed,CZ_Deaths,CZ_Recovered,CZ_Active,Date
87,9086,317,6370,2399,2020-05-27 00:00:00+00:00
88,9140,319,6460,2361,2020-05-28 00:00:00+00:00
89,9196,319,6500,2377,2020-05-29 00:00:00+00:00
90,9230,319,6546,2365,2020-05-30 00:00:00+00:00
91,9268,320,6558,2390,2020-05-31 00:00:00+00:00
92,9302,321,6642,2339,2020-06-01 00:00:00+00:00
93,9364,323,6686,2355,2020-06-02 00:00:00+00:00
94,9438,325,6749,2364,2020-06-03 00:00:00+00:00
95,9494,326,6809,2359,2020-06-04 00:00:00+00:00
96,9529,327,6881,2321,2020-06-05 00:00:00+00:00
97,9567,327,6885,2355,2020-06-06 00:00:00+00:00
98,9628,327,6891,2410,2020-06-07 00:00:00+00:00
99,9697,328,6994,2375,2020-06-08 00:00:00+00:00
100,9751,328,7053,2370,2020-06-09 00:00:00+00:00
101,9824,330,7111,2383,2020-06-10 00:00:00+00:00
102,9855,328,7166,2361,2020-06-11 00:00:00+00:00
103,9938,329,7215,2394,2020-06-12 00:00:00+00:00
104,9991,328,7219,2444,2020-06-13 00:00:00+00:00
105,10024,329,7226,2469,2020-06-14 00:00:00+00:00
106,10064,330,7296,2438,2020-06-15 00:00:00+00:00
107,10111,331,7358,2422,2020-06-16 00:00:00+00:00
108,10162,333,7399,2430,2020-06-17 00:00:00+00:00
109,10280,334,7440,2506,2020-06-18 00:00:00+00:00
110,10406,335,7473,2598,2020-06-19 00:00:00+00:00
111,10448,336,7477,2635,2020-06-20 00:00:00+00:00
112,10498,336,7499,2663,2020-06-21 00:00:00+00:00
113,10523,336,7537,2650,2020-06-22 00:00:00+00:00
114,10650,339,7555,2756,2020-06-23 00:00:00+00:00
