,SN_Confirmed,SN_Deaths,SN_Recovered,SN_Active,Date
39,265,2,137,126,2020-04-10 00:00:00+00:00
40,278,2,152,124,2020-04-11 00:00:00+00:00
41,280,2,171,107,2020-04-12 00:00:00+00:00
42,291,2,178,111,2020-04-13 00:00:00+00:00
43,299,2,183,114,2020-04-14 00:00:00+00:00
44,314,2,190,122,2020-04-15 00:00:00+00:00
45,335,2,194,139,2020-04-16 00:00:00+00:00
46,342,2,198,142,2020-04-17 00:00:00+00:00
47,350,3,211,136,2020-04-18 00:00:00+00:00
48,367,3,220,144,2020-04-19 00:00:00+00:00
49,377,5,235,137,2020-04-20 00:00:00+00:00
50,412,5,242,165,2020-04-21 00:00:00+00:00
51,442,6,253,183,2020-04-22 00:00:00+00:00
52,479,6,257,216,2020-04-23 00:00:00+00:00
53,545,7,262,276,2020-04-24 00:00:00+00:00
54,614,7,276,331,2020-04-25 00:00:00+00:00
55,671,9,283,379,2020-04-26 00:00:00+00:00
56,736,9,284,443,2020-04-27 00:00:00+00:00
57,823,9,296,518,2020-04-28 00:00:00+00:00
58,882,9,315,558,2020-04-29 00:00:00+00:00
59,933,9,334,590,2020-04-30 00:00:00+00:00
60,1024,9,356,659,2020-05-01 00:00:00+00:00
61,1115,9,368,738,2020-05-02 00:00:00+00:00
62,1182,9,372,801,2020-05-03 00:00:00+00:00
63,1271,10,415,846,2020-05-04 00:00:00+00:00
64,1329,11,470,848,2020-05-05 00:00:00+00:00
65,1433,12,493,928,2020-05-06 00:00:00+00:00
66,1492,13,562,917,2020-05-07 00:00:00+00:00
67,1551,13,611,927,2020-05-08 00:00:00+00:00
68,1634,17,643,974,2020-05-09 00:00:00+00:00
69,1709,19,650,1040,2020-05-10 00:00:00+00:00
70,1886,19,715,1152,2020-05-11 00:00:00+00:00
71,1995,19,742,1234,2020-05-12 00:00:00+00:00
72,2105,21,782,1302,2020-05-13 00:00:00+00:00
73,2189,23,842,1324,2020-05-14 00:00:00+00:00
74,2310,25,890,1395,2020-05-15 00:00:00+00:00
75,2429,25,949,1455,2020-05-16 00:00:00+00:00
76,2480,25,973,1482,2020-05-17 00:00:00+00:00
77,2544,26,1076,1442,2020-05-18 00:00:00+00:00
78,2617,30,1133,1454,2020-05-19 00:00:00+00:00
79,2714,30,1186,1498,2020-05-20 00:00:00+00:00
80,2812,33,1251,1528,2020-05-21 00:00:00+00:00
81,2909,33,1311,1565,2020-05-22 00:00:00+00:00
82,2976,34,1416,1526,2020-05-23 00:00:00+00:00
83,3047,35,1456,1556,2020-05-24 00:00:00+00:00
84,3130,35,1515,1580,2020-05-25 00:00:00+00:00
85,3161,36,1565,1560,2020-05-26 00:00:00+00:00
86,3253,38,1586,1629,2020-05-27 00:00:00+00:00
87,3348,39,1686,1623,2020-05-28 00:00:00+00:00
88,3429,41,1738,1650,2020-05-29 00:00:00+00:00
89,3535,42,1761,1732,2020-05-30 00:00:00+00:00
