	Timestamp	Date	bitrate	IX
4477	1506038400.0	2017-09-22	-0.006273595211823053	lon1
4478	1506124800.0	2017-09-23	-0.006529052228398566	lon1
4479	1506211200.0	2017-09-24	-0.0059131620489246625	lon1
4480	1506297600.0	2017-09-25	-0.006318760797109853	lon1
4481	1506384000.0	2017-09-26	-0.006358731771059307	lon1
4482	1506470400.0	2017-09-27	-0.006198830515287098	lon1
4483	1506556800.0	2017-09-28	-0.006573919093548567	lon1
4484	1506643200.0	2017-09-29	-0.006813878956005359	lon1
4485	1506729600.0	2017-09-30	-0.00544276081421471	lon1
4486	1506816000.0	2017-10-01	-0.005937138143088527	lon1
4487	1506902400.0	2017-10-02	-0.005238263261954151	lon1
4488	1506988800.0	2017-10-03	-0.006033316002639227	lon1
4489	1507075200.0	2017-10-04	-0.006196218579711859	lon1
4490	1507161600.0	2017-10-05	-0.006290165181928926	lon1
4491	1507248000.0	2017-10-06	-0.005611376185210289	lon1
4492	1507334400.0	2017-10-07	-0.005507686942716913	lon1
4493	1507420800.0	2017-10-08	-0.005553787876548119	lon1
4494	1507507200.0	2017-10-09	-0.00534332356309643	lon1
4495	1507593600.0	2017-10-10	-0.005500816382703363	lon1
4496	1507680000.0	2017-10-11	-0.004784451003653079	lon1
4497	1507766400.0	2017-10-12	-0.00481412138069388	lon1
4498	1507852800.0	2017-10-13	-0.00479782469171509	lon1
4499	1507939200.0	2017-10-14	-0.004701904646475501	lon1
4500	1508025600.0	2017-10-15	-0.004736089268436354	lon1
4501	1508112000.0	2017-10-16	-0.005080069242680254	lon1
4502	1508198400.0	2017-10-17	-0.004951330273329281	lon1
4503	1508284800.0	2017-10-18	-0.0050749208716418396	lon1
4504	1508371200.0	2017-10-19	-0.004799552034954056	lon1
4505	1508457600.0	2017-10-20	-0.004818985963132702	lon1
4506	1508544000.0	2017-10-21	-0.004452203764797372	lon1
4507	1508630400.0	2017-10-22	-0.004279514159382192	lon1
4508	1508716800.0	2017-10-23	-0.003989593880194747	lon1
4509	1508803200.0	2017-10-24	-0.004064924954143659	lon1
