,CA_Confirmed,CA_Deaths,CA_Recovered,CA_Active,Date
114,26,0,0,26,2020-04-22 00:00:00+00:00
115,20126,1044,0,19082,2020-04-22 00:00:00+00:00
116,320,4,0,316,2020-04-22 00:00:00+00:00
117,737,10,0,727,2020-04-22 00:00:00+00:00
118,5,0,0,5,2020-04-22 00:00:00+00:00
119,118,0,0,118,2020-04-22 00:00:00+00:00
120,26,0,0,26,2020-04-23 00:00:00+00:00
121,257,6,0,251,2020-04-23 00:00:00+00:00
122,772,12,0,760,2020-04-23 00:00:00+00:00
123,20965,1134,0,19831,2020-04-23 00:00:00+00:00
124,118,0,0,118,2020-04-23 00:00:00+00:00
125,326,4,0,322,2020-04-23 00:00:00+00:00
126,3401,66,0,3335,2020-04-23 00:00:00+00:00
127,256,3,0,253,2020-04-23 00:00:00+00:00
128,11,0,0,11,2020-04-23 00:00:00+00:00
129,1795,93,0,1702,2020-04-23 00:00:00+00:00
130,5,0,0,5,2020-04-23 00:00:00+00:00
131,13718,762,0,12956,2020-04-23 00:00:00+00:00
132,331,4,0,327,2020-04-24 00:00:00+00:00
133,5,0,0,5,2020-04-24 00:00:00+00:00
134,262,6,0,256,2020-04-24 00:00:00+00:00
135,3720,68,0,3652,2020-04-24 00:00:00+00:00
136,118,0,0,118,2020-04-24 00:00:00+00:00
137,11,0,0,11,2020-04-24 00:00:00+00:00
138,1824,94,0,1730,2020-04-24 00:00:00+00:00
139,21838,1243,0,20595,2020-04-24 00:00:00+00:00
140,14068,806,0,13262,2020-04-24 00:00:00+00:00
141,827,16,0,811,2020-04-24 00:00:00+00:00
142,256,3,0,253,2020-04-24 00:00:00+00:00
143,26,0,0,26,2020-04-24 00:00:00+00:00
144,1853,98,0,1755,2020-04-25 00:00:00+00:00
145,256,3,0,253,2020-04-25 00:00:00+00:00
146,118,0,0,118,2020-04-25 00:00:00+00:00
147,14550,862,0,13688,2020-04-25 00:00:00+00:00
148,341,4,0,337,2020-04-25 00:00:00+00:00
149,26,0,0,26,2020-04-25 00:00:00+00:00
150,263,6,0,257,2020-04-25 00:00:00+00:00
151,4017,72,0,3945,2020-04-25 00:00:00+00:00
152,22616,1340,0,21276,2020-04-25 00:00:00+00:00
153,5,0,0,5,2020-04-25 00:00:00+00:00
154,11,0,0,11,2020-04-25 00:00:00+00:00
155,257,3,0,254,2020-04-26 00:00:00+00:00
156,23267,1446,0,21821,2020-04-26 00:00:00+00:00
157,26,0,0,26,2020-04-26 00:00:00+00:00
158,118,0,0,118,2020-04-26 00:00:00+00:00
159,11,0,0,11,2020-04-26 00:00:00+00:00
160,15009,914,0,14095,2020-04-26 00:00:00+00:00
161,1948,100,0,1848,2020-04-26 00:00:00+00:00
162,349,4,0,345,2020-04-26 00:00:00+00:00
163,267,6,0,261,2020-04-26 00:00:00+00:00
164,4233,73,0,4160,2020-04-26 00:00:00+00:00
165,5,0,0,5,2020-04-26 00:00:00+00:00
166,26,0,0,26,2020-04-27 00:00:00+00:00
167,15564,960,0,14604,2020-04-27 00:00:00+00:00
168,5,0,0,5,2020-04-27 00:00:00+00:00
169,118,0,0,118,2020-04-27 00:00:00+00:00
170,24109,1516,0,22593,2020-04-27 00:00:00+00:00
171,4480,73,0,4407,2020-04-27 00:00:00+00:00
172,353,4,0,349,2020-04-27 00:00:00+00:00
173,1948,100,0,1848,2020-04-27 00:00:00+00:00
174,258,3,0,255,2020-04-27 00:00:00+00:00
175,900,24,0,876,2020-04-27 00:00:00+00:00
176,11,0,0,11,2020-04-27 00:00:00+00:00
177,271,6,0,265,2020-04-27 00:00:00+00:00
178,11,0,0,11,2020-04-28 00:00:00+00:00
179,273,6,0,267,2020-04-28 00:00:00+00:00
180,258,3,0,255,2020-04-28 00:00:00+00:00
181,26,0,0,26,2020-04-28 00:00:00+00:00
