,AT_Confirmed,AT_Deaths,AT_Recovered,AT_Active,Date
108,17064,675,15985,404,2020-06-12 00:00:00+00:00
109,17078,677,16012,389,2020-06-13 00:00:00+00:00
110,17109,677,16059,373,2020-06-14 00:00:00+00:00
111,17135,678,16066,391,2020-06-15 00:00:00+00:00
112,17189,681,16089,419,2020-06-16 00:00:00+00:00
113,17203,687,16099,417,2020-06-17 00:00:00+00:00
114,17223,688,16101,434,2020-06-18 00:00:00+00:00
115,17271,688,16141,442,2020-06-19 00:00:00+00:00
116,17323,688,16175,460,2020-06-20 00:00:00+00:00
117,17341,690,16197,454,2020-06-21 00:00:00+00:00
118,17380,690,16241,449,2020-06-22 00:00:00+00:00
119,17408,693,16261,454,2020-06-23 00:00:00+00:00
