,IR_Confirmed,IR_Deaths,IR_Recovered,IR_Active,Date
104,157562,7942,123077,26543,2020-06-02 00:00:00+00:00
105,160696,8012,125206,27478,2020-06-03 00:00:00+00:00
106,164270,8071,127485,28714,2020-06-04 00:00:00+00:00
107,167156,8134,129741,29281,2020-06-05 00:00:00+00:00
108,169425,8209,132038,29178,2020-06-06 00:00:00+00:00
109,171789,8281,134349,29159,2020-06-07 00:00:00+00:00
110,173832,8351,136360,29121,2020-06-08 00:00:00+00:00
111,175927,8425,138457,29045,2020-06-09 00:00:00+00:00
112,177938,8506,140590,28842,2020-06-10 00:00:00+00:00
113,180156,8584,142663,28909,2020-06-11 00:00:00+00:00
114,182525,8659,144649,29217,2020-06-12 00:00:00+00:00
115,184955,8730,146748,29477,2020-06-13 00:00:00+00:00
116,187427,8837,148674,29916,2020-06-14 00:00:00+00:00
117,189876,8950,150590,30336,2020-06-15 00:00:00+00:00
118,192439,9065,152675,30699,2020-06-16 00:00:00+00:00
119,195051,9185,154812,31054,2020-06-17 00:00:00+00:00
120,197647,9272,156991,31384,2020-06-18 00:00:00+00:00
121,200262,9392,159192,31678,2020-06-19 00:00:00+00:00
122,202584,9507,161384,31693,2020-06-20 00:00:00+00:00
123,204952,9623,163591,31738,2020-06-21 00:00:00+00:00
124,207525,9742,166427,31356,2020-06-22 00:00:00+00:00
125,209970,9863,169160,30947,2020-06-23 00:00:00+00:00
