,GB_Confirmed,GB_Deaths,GB_Recovered,GB_Active,Date
116,36,0,0,36,2020-03-24 00:00:00+00:00
117,15,0,5,10,2020-03-24 00:00:00+00:00
118,23,0,0,23,2020-03-24 00:00:00+00:00
119,1,0,0,1,2020-03-24 00:00:00+00:00
120,9529,694,135,8700,2020-03-25 00:00:00+00:00
121,7,0,0,7,2020-03-25 00:00:00+00:00
122,8,1,0,7,2020-03-25 00:00:00+00:00
123,46,0,0,46,2020-03-25 00:00:00+00:00
124,26,0,5,21,2020-03-25 00:00:00+00:00
125,23,0,0,23,2020-03-25 00:00:00+00:00
126,1,0,0,1,2020-03-25 00:00:00+00:00
127,11658,877,135,10646,2020-03-26 00:00:00+00:00
128,15,0,2,13,2020-03-26 00:00:00+00:00
129,8,1,0,7,2020-03-26 00:00:00+00:00
130,66,1,0,65,2020-03-26 00:00:00+00:00
131,35,0,13,22,2020-03-26 00:00:00+00:00
132,25,0,0,25,2020-03-26 00:00:00+00:00
133,5,0,0,5,2020-03-26 00:00:00+00:00
134,14543,1161,135,13247,2020-03-27 00:00:00+00:00
135,17,0,2,15,2020-03-27 00:00:00+00:00
136,8,1,0,7,2020-03-27 00:00:00+00:00
137,88,1,0,87,2020-03-27 00:00:00+00:00
138,55,0,14,41,2020-03-27 00:00:00+00:00
139,29,0,0,29,2020-03-27 00:00:00+00:00
140,5,0,0,5,2020-03-27 00:00:00+00:00
141,17089,1455,135,15499,2020-03-28 00:00:00+00:00
142,2,0,0,2,2020-03-28 00:00:00+00:00
143,17,0,2,15,2020-03-28 00:00:00+00:00
144,2,0,0,2,2020-03-28 00:00:00+00:00
145,8,1,0,7,2020-03-28 00:00:00+00:00
146,97,1,0,96,2020-03-28 00:00:00+00:00
147,56,0,14,42,2020-03-28 00:00:00+00:00
148,32,0,0,32,2020-03-28 00:00:00+00:00
149,5,0,0,5,2020-03-28 00:00:00+00:00
150,4,0,0,4,2020-03-28 00:00:00+00:00
151,19522,1669,135,17718,2020-03-29 00:00:00+00:00
152,2,0,0,2,2020-03-29 00:00:00+00:00
153,22,0,2,20,2020-03-29 00:00:00+00:00
154,2,0,0,2,2020-03-29 00:00:00+00:00
155,8,1,0,7,2020-03-29 00:00:00+00:00
156,108,2,0,106,2020-03-29 00:00:00+00:00
157,65,0,14,51,2020-03-29 00:00:00+00:00
158,42,0,0,42,2020-03-29 00:00:00+00:00
159,5,0,0,5,2020-03-29 00:00:00+00:00
160,4,0,0,4,2020-03-29 00:00:00+00:00
161,22141,2043,135,19963,2020-03-30 00:00:00+00:00
162,2,0,0,2,2020-03-30 00:00:00+00:00
163,27,0,2,25,2020-03-30 00:00:00+00:00
164,2,0,0,2,2020-03-30 00:00:00+00:00
165,12,1,0,11,2020-03-30 00:00:00+00:00
166,141,2,0,139,2020-03-30 00:00:00+00:00
167,69,0,34,35,2020-03-30 00:00:00+00:00
168,49,0,0,49,2020-03-30 00:00:00+00:00
169,5,0,0,5,2020-03-30 00:00:00+00:00
170,5,0,0,5,2020-03-30 00:00:00+00:00
171,25150,2425,135,22590,2020-03-31 00:00:00+00:00
172,2,0,0,2,2020-03-31 00:00:00+00:00
173,32,0,10,22,2020-03-31 00:00:00+00:00
174,3,0,0,3,2020-03-31 00:00:00+00:00
175,14,1,0,13,2020-03-31 00:00:00+00:00
176,141,3,0,138,2020-03-31 00:00:00+00:00
177,69,0,34,35,2020-03-31 00:00:00+00:00
178,60,0,0,60,2020-03-31 00:00:00+00:00
179,5,0,0,5,2020-03-31 00:00:00+00:00
180,5,0,0,5,2020-03-31 00:00:00+00:00
181,29474,3095,135,26244,2020-04-01 00:00:00+00:00
182,2,0,0,2,2020-04-01 00:00:00+00:00
183,32,0,10,22,2020-04-01 00:00:00+00:00
184,3,0,0,3,2020-04-01 00:00:00+00:00
185,22,1,0,21,2020-04-01 00:00:00+00:00
186,172,3,0,169,2020-04-01 00:00:00+00:00
187,81,0,34,47,2020-04-01 00:00:00+00:00
188,68,1,0,67,2020-04-01 00:00:00+00:00
189,5,0,0,5,2020-04-01 00:00:00+00:00
190,6,0,0,6,2020-04-01 00:00:00+00:00
191,33718,3747,135,29836,2020-04-02 00:00:00+00:00
192,3,0,0,3,2020-04-02 00:00:00+00:00
193,35,0,11,24,2020-04-02 00:00:00+00:00
194,3,0,0,3,2020-04-02 00:00:00+00:00
195,28,1,0,27,2020-04-02 00:00:00+00:00
196,193,3,0,190,2020-04-02 00:00:00+00:00
197,88,0,46,42,2020-04-02 00:00:00+00:00
198,95,1,0,94,2020-04-02 00:00:00+00:00
199,5,0,0,5,2020-04-02 00:00:00+00:00
200,5,0,0,5,2020-04-02 00:00:00+00:00
201,38168,4461,135,33572,2020-04-03 00:00:00+00:00
202,3,0,0,3,2020-04-03 00:00:00+00:00
203,35,0,14,21,2020-04-03 00:00:00+00:00
204,3,0,0,3,2020-04-03 00:00:00+00:00
205,28,1,0,27,2020-04-03 00:00:00+00:00
206,232,4,13,215,2020-04-03 00:00:00+00:00
207,95,0,46,49,2020-04-03 00:00:00+00:00
208,114,1,0,113,2020-04-03 00:00:00+00:00
209,6,0,0,6,2020-04-03 00:00:00+00:00
210,5,0,0,5,2020-04-03 00:00:00+00:00
211,41903,5221,135,36547,2020-04-04 00:00:00+00:00
212,3,0,0,3,2020-04-04 00:00:00+00:00
213,35,0,14,21,2020-04-04 00:00:00+00:00
214,3,0,0,3,2020-04-04 00:00:00+00:00
215,35,1,1,33,2020-04-04 00:00:00+00:00
216,262,5,13,244,2020-04-04 00:00:00+00:00
217,1,0,0,1,2020-04-04 00:00:00+00:00
218,98,0,52,46,2020-04-04 00:00:00+00:00
219,126,1,0,125,2020-04-04 00:00:00+00:00
220,6,0,0,6,2020-04-04 00:00:00+00:00
221,5,0,0,5,2020-04-04 00:00:00+00:00
222,47806,5865,135,41806,2020-04-05 00:00:00+00:00
223,3,0,0,3,2020-04-05 00:00:00+00:00
224,37,0,14,23,2020-04-05 00:00:00+00:00
225,3,0,0,3,2020-04-05 00:00:00+00:00
