,DK_Confirmed,DK_Deaths,DK_Recovered,DK_Active,Date
114,6318,285,2235,3798,2020-04-13 00:00:00+00:00
115,184,0,157,27,2020-04-13 00:00:00+00:00
116,11,0,11,0,2020-04-13 00:00:00+00:00
117,6511,299,2515,3697,2020-04-14 00:00:00+00:00
118,184,0,163,21,2020-04-14 00:00:00+00:00
119,11,0,11,0,2020-04-14 00:00:00+00:00
120,6681,309,2748,3624,2020-04-15 00:00:00+00:00
121,184,0,166,18,2020-04-15 00:00:00+00:00
122,11,0,11,0,2020-04-15 00:00:00+00:00
123,6879,321,3023,3535,2020-04-16 00:00:00+00:00
124,184,0,169,15,2020-04-16 00:00:00+00:00
125,11,0,11,0,2020-04-16 00:00:00+00:00
126,7073,336,3389,3348,2020-04-17 00:00:00+00:00
127,184,0,171,13,2020-04-17 00:00:00+00:00
128,11,0,11,0,2020-04-17 00:00:00+00:00
129,7242,346,3847,3049,2020-04-18 00:00:00+00:00
130,184,0,173,11,2020-04-18 00:00:00+00:00
131,11,0,11,0,2020-04-18 00:00:00+00:00
132,7384,355,4141,2888,2020-04-19 00:00:00+00:00
133,185,0,176,9,2020-04-19 00:00:00+00:00
134,11,0,11,0,2020-04-19 00:00:00+00:00
135,7515,364,4312,2839,2020-04-20 00:00:00+00:00
136,185,0,176,9,2020-04-20 00:00:00+00:00
137,11,0,11,0,2020-04-20 00:00:00+00:00
138,7695,370,4700,2625,2020-04-21 00:00:00+00:00
139,185,0,178,7,2020-04-21 00:00:00+00:00
140,11,0,11,0,2020-04-21 00:00:00+00:00
141,7912,384,5087,2441,2020-04-22 00:00:00+00:00
142,185,0,178,7,2020-04-22 00:00:00+00:00
143,11,0,11,0,2020-04-22 00:00:00+00:00
144,8073,394,5384,2295,2020-04-23 00:00:00+00:00
145,187,0,178,9,2020-04-23 00:00:00+00:00
146,11,0,11,0,2020-04-23 00:00:00+00:00
147,8210,403,5526,2281,2020-04-24 00:00:00+00:00
148,187,0,178,9,2020-04-24 00:00:00+00:00
149,11,0,11,0,2020-04-24 00:00:00+00:00
150,8445,418,5669,2358,2020-04-25 00:00:00+00:00
151,187,0,178,9,2020-04-25 00:00:00+00:00
152,11,0,11,0,2020-04-25 00:00:00+00:00
153,8575,422,5805,2348,2020-04-26 00:00:00+00:00
154,187,0,178,9,2020-04-26 00:00:00+00:00
155,11,0,11,0,2020-04-26 00:00:00+00:00
156,8698,427,5959,2312,2020-04-27 00:00:00+00:00
157,187,0,178,9,2020-04-27 00:00:00+00:00
158,11,0,11,0,2020-04-27 00:00:00+00:00
159,8851,434,6121,2296,2020-04-28 00:00:00+00:00
160,187,0,181,6,2020-04-28 00:00:00+00:00
161,11,0,11,0,2020-04-28 00:00:00+00:00
162,9008,443,6366,2199,2020-04-29 00:00:00+00:00
163,187,0,181,6,2020-04-29 00:00:00+00:00
164,11,0,11,0,2020-04-29 00:00:00+00:00
165,9158,452,6546,2160,2020-04-30 00:00:00+00:00
166,187,0,184,3,2020-04-30 00:00:00+00:00
167,11,0,11,0,2020-04-30 00:00:00+00:00
168,9311,460,6729,2122,2020-05-01 00:00:00+00:00
169,187,0,184,3,2020-05-01 00:00:00+00:00
170,11,0,11,0,2020-05-01 00:00:00+00:00
171,9407,475,6889,2043,2020-05-02 00:00:00+00:00
172,187,0,184,3,2020-05-02 00:00:00+00:00
173,11,0,11,0,2020-05-02 00:00:00+00:00
174,9523,484,6987,2052,2020-05-03 00:00:00+00:00
175,187,0,185,2,2020-05-03 00:00:00+00:00
176,11,0,11,0,2020-05-03 00:00:00+00:00
177,9670,493,7088,2089,2020-05-04 00:00:00+00:00
178,187,0,185,2,2020-05-04 00:00:00+00:00
179,11,0,11,0,2020-05-04 00:00:00+00:00
180,9821,503,7296,2022,2020-05-05 00:00:00+00:00
181,187,0,185,2,2020-05-05 00:00:00+00:00
182,11,0,11,0,2020-05-05 00:00:00+00:00
183,9938,506,7493,1939,2020-05-06 00:00:00+00:00
184,187,0,185,2,2020-05-06 00:00:00+00:00
185,11,0,11,0,2020-05-06 00:00:00+00:00
186,10083,514,7711,1858,2020-05-07 00:00:00+00:00
187,187,0,185,2,2020-05-07 00:00:00+00:00
188,11,0,11,0,2020-05-07 00:00:00+00:00
189,10218,522,7927,1769,2020-05-08 00:00:00+00:00
190,187,0,187,0,2020-05-08 00:00:00+00:00
191,11,0,11,0,2020-05-08 00:00:00+00:00
192,10319,526,8093,1700,2020-05-09 00:00:00+00:00
193,187,0,187,0,2020-05-09 00:00:00+00:00
194,11,0,11,0,2020-05-09 00:00:00+00:00
195,10429,529,8217,1683,2020-05-10 00:00:00+00:00
196,187,0,187,0,2020-05-10 00:00:00+00:00
197,11,0,11,0,2020-05-10 00:00:00+00:00
198,10513,533,8328,1652,2020-05-11 00:00:00+00:00
199,187,0,187,0,2020-05-11 00:00:00+00:00
200,11,0,11,0,2020-05-11 00:00:00+00:00
201,10591,527,8580,1484,2020-05-12 00:00:00+00:00
202,187,0,187,0,2020-05-12 00:00:00+00:00
203,11,0,11,0,2020-05-12 00:00:00+00:00
204,10667,533,8663,1471,2020-05-13 00:00:00+00:00
205,187,0,187,0,2020-05-13 00:00:00+00:00
206,11,0,11,0,2020-05-13 00:00:00+00:00
207,10713,537,8805,1371,2020-05-14 00:00:00+00:00
208,187,0,187,0,2020-05-14 00:00:00+00:00
209,11,0,11,0,2020-05-14 00:00:00+00:00
210,10791,537,8959,1295,2020-05-15 00:00:00+00:00
211,187,0,187,0,2020-05-15 00:00:00+00:00
212,11,0,11,0,2020-05-15 00:00:00+00:00
213,10858,543,9107,1208,2020-05-16 00:00:00+00:00
214,187,0,187,0,2020-05-16 00:00:00+00:00
