,KW_Confirmed,KW_Deaths,KW_Recovered,KW_Active,Date
110,35466,289,25882,9295,2020-06-13 00:00:00+00:00
111,35920,296,26759,8865,2020-06-14 00:00:00+00:00
112,36431,298,27531,8602,2020-06-15 00:00:00+00:00
113,36958,303,28206,8449,2020-06-16 00:00:00+00:00
114,37533,306,28896,8331,2020-06-17 00:00:00+00:00
115,38074,308,29512,8254,2020-06-18 00:00:00+00:00
116,38678,313,30190,8175,2020-06-19 00:00:00+00:00
117,39145,319,30726,8100,2020-06-20 00:00:00+00:00
118,39650,326,31240,8084,2020-06-21 00:00:00+00:00
119,40291,330,31770,8191,2020-06-22 00:00:00+00:00
120,41033,334,32304,8395,2020-06-23 00:00:00+00:00
