,CN_Confirmed,CN_Deaths,CN_Recovered,CN_Active,Date
102,18,0,0,18,2020-01-25 00:00:00+00:00
103,4,0,0,4,2020-01-25 00:00:00+00:00
104,78,0,2,76,2020-01-25 00:00:00+00:00
105,23,0,0,23,2020-01-25 00:00:00+00:00
106,4,0,0,4,2020-01-25 00:00:00+00:00
107,19,0,0,19,2020-01-25 00:00:00+00:00
108,8,1,0,7,2020-01-25 00:00:00+00:00
109,9,1,0,8,2020-01-25 00:00:00+00:00
110,32,0,0,32,2020-01-25 00:00:00+00:00
111,5,0,0,5,2020-01-25 00:00:00+00:00
112,761,40,32,689,2020-01-25 00:00:00+00:00
113,43,0,0,43,2020-01-25 00:00:00+00:00
114,7,0,0,7,2020-01-25 00:00:00+00:00
115,18,0,1,17,2020-01-25 00:00:00+00:00
116,18,0,0,18,2020-01-25 00:00:00+00:00
117,15,1,0,14,2020-01-26 00:00:00+00:00
118,83,1,0,82,2020-01-26 00:00:00+00:00
119,8,0,0,8,2020-01-26 00:00:00+00:00
120,1058,52,42,964,2020-01-26 00:00:00+00:00
121,69,0,0,69,2020-01-26 00:00:00+00:00
122,7,0,0,7,2020-01-26 00:00:00+00:00
123,33,0,1,32,2020-01-26 00:00:00+00:00
124,36,0,0,36,2020-01-26 00:00:00+00:00
125,4,0,0,4,2020-01-26 00:00:00+00:00
126,21,0,0,21,2020-01-26 00:00:00+00:00
127,5,0,0,5,2020-01-26 00:00:00+00:00
128,4,0,0,4,2020-01-26 00:00:00+00:00
129,1,0,0,1,2020-01-26 00:00:00+00:00
130,22,0,0,22,2020-01-26 00:00:00+00:00
131,46,0,0,46,2020-01-26 00:00:00+00:00
132,40,1,1,38,2020-01-26 00:00:00+00:00
133,9,0,0,9,2020-01-26 00:00:00+00:00
134,44,0,0,44,2020-01-26 00:00:00+00:00
135,14,0,0,14,2020-01-26 00:00:00+00:00
136,4,0,0,4,2020-01-26 00:00:00+00:00
137,16,0,0,16,2020-01-26 00:00:00+00:00
138,104,0,1,103,2020-01-26 00:00:00+00:00
139,60,0,0,60,2020-01-26 00:00:00+00:00
140,68,0,2,66,2020-01-26 00:00:00+00:00
141,75,0,0,75,2020-01-26 00:00:00+00:00
142,35,0,0,35,2020-01-26 00:00:00+00:00
143,7,0,0,7,2020-01-26 00:00:00+00:00
144,111,0,2,109,2020-01-26 00:00:00+00:00
